,합계.5,합계.6,합계.7,합계.8,합계.9,sum,시군구
0,18904,20254,22101,25163,25983,112405,
1,571,617,658,750,732,3328,종로구
2,630,615,673,757,766,3441,중구
3,679,695,694,839,840,3747,용산구
4,622,616,763,821,862,3684,성동구
5,855,925,898,1001,975,4654,동대문구
6,734,702,794,861,841,3932,성북구
7,521,525,552,621,597,2816,도봉구
8,696,834,751,944,961,4186,은평구
9,547,668,704,765,752,3436,서대문구
10,792,907,994,1095,1170,4958,마포구
11,893,1017,1141,1292,1410,5753,강서구
12,763,765,818,946,985,4277,구로구
13,1022,1124,1203,1349,1341,6039,영등포구
14,675,766,781,899,917,4038,동작구
15,730,722,851,973,870,4146,관악구
16,1377,1505,1786,2124,2263,9055,강남구
17,720,777,869,1031,1116,4513,강동구
18,1043,1112,1264,1475,1575,6469,송파구
19,1220,1333,1479,1756,1845,7633,서초구
20,791,825,897,1103,1087,4703,양천구
21,676,605,748,804,857,3690,중랑구
22,713,830,881,967,1073,4464,노원구
23,644,657,722,715,801,3539,광진구
24,543,588,594,651,663,3039,강북구
25,447,524,586,624,684,2865,금천구
